,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,minus_log10_padj,significant
ENST00000947581,20.7242221398241,7.81473435550134,1.65070652678799,4.73417547497528,2.19947380561386e-06,0.0003815467279649,UBL7-242,3.418452266478241,True
ENST00000467560,14.7145788805489,-7.32176310834061,1.38055460160436,-5.3034940449526,1.13606911799011e-07,2.74395935014695e-05,ATPAF2-204,4.561622326688914,True
ENST00000593114,10.9782047938556,-6.90539296059404,1.61013997984977,-4.28869107469672,1.79729145636896e-05,0.0024346247281506,RAD23A-210,2.6135679712269546,True
ENST00000642424,82.2703407703442,-9.8083425769863,1.50433706839311,-6.52004313598635,7.02871751334844e-11,4.67009094556518e-08,DDX3X-225,7.3306746618808845,True
ENST00000374026,252.446457743464,-1.20982053353148,0.334253392390849,-3.61947121875973,0.0002952056413124,0.0283961653186595,ILRUN-203,1.54674030408639,True
ENST00000681547,383.615156974529,1.24884852147957,0.310709260598601,4.01934760191436,5.83595163511359e-05,0.0067817447100263,JADE2-215,2.168658562702084,True
ENST00000440970,44.5881270840438,8.91829531627585,1.28923509681637,6.91750894642773,4.59654366731688e-12,4.13873417185303e-09,SALL1-202,8.383132467149577,True
ENST00000950854,9.28967962345079,6.65559813742279,1.40563567810924,4.73493824970025,2.19121803154387e-06,0.0003806134218334,AGTPBP1-232,3.419515900953347,True
ENST00000948406,39.6643354256508,-8.75553476476845,1.62846187619434,-5.37656723363387,7.59193574047171e-08,1.92134038752026e-05,RHOBTB1-223,4.716395688065827,True
ENST00000216879,72.5522580728412,-9.62490699049359,1.30117024144442,-7.39711582998475,1.39174146686939e-13,2.52341792895021e-10,NSFL1C-201,9.598010815591941,True
ENST00000880624,82.5589188430296,3.03118217800271,0.655798588932175,4.6221236659541,3.79831458571678e-06,0.0006168602702464,GSE1-218,3.209813200202432,True
ENST00000686969,14.7970479744334,7.32723373718526,1.41911600322342,5.16323804434732,2.42714159881609e-07,5.3901683704312e-05,KRAS-207,4.268397668726595,True
ENST00000556131,16.3041780541152,-7.47402420117366,1.41818383627516,-5.2701377705757,1.3632139882433e-07,3.24520935737222e-05,KRAS-203,4.488757280429529,True
ENST00000536272,13.2575323380774,7.16838390570645,1.3964104656951,5.13343610765492,2.84499639663808e-07,6.25516408741893e-05,KIAA1958-203,4.203761293272576,True
